,CONSTITUENCY-WISE DETAILED RESULTS,,,
,NWFP PROVINCE,,,
SL.No.,Constesting candidates,Party Affiliation,Votes Polled,
1,Al-Haj Syed Ghulam Nabi Shah,Muttahidda Majlis-e-Amal Pakistan,35576,
2,Sardar Shah Jehan Yousuf,Pakistan Muslim League(QA),40853,
3,Sardar Wiqarul Mulk,Pakistan Peoples Party Parliamentarians,1442,
4,Lt Gen ® Syed Salahuddin Tirmizi,Independent,37520,
5,Mr.Muhammad Saqib Mumtaz,Pakistan Muslim League(N),1754,
6,Mr.Naveed Akhter Khan,Pakistan Tehreek-e-Insaf,250,
,,Valid Votes,117395,
,,Rejected Votes ,3379,
,,Total Votes ,120774,
,,Registered Voters,327352,
,,Percentage of Votes Polled to Registered Voters,36.89,%
,NA-21 Mansehra-II,,,
1,Mr.Tahir Ali,Pakistan Muslim League(N),7158,
2,Mr.Faiz Muhammad Khan,Independent,25771,
3,Maulana Abdul Malik,Muttahidda Majlis-e-Amal Pakistan,46311,
4,Nawabzada Salauddin Saeed,Pakistan Muslim League(QA),24557,
,,Valid Votes,103797,
,,Rejected Votes ,1836,
,,Total Votes ,105633,
,,Registered Voters,310360,
,,Percentage of Votes Polled to Registered Voters,34.04,%
,NA-22 Batagram,,,
1,Mr.Bakht Nawaz Khan,Independent,9609,
2,Mr.Inayatullah Khan,Independent,1216,
3,Qari Muhammad Yousaf,Muttahidda Majlis-e-Amal Pakistan,24092,
4,Mr.Mohammad Nawaz Khan ,Pakistan Muslim League(QA),10875,
,,Valid Votes,45792,
,,Rejected Votes ,1422,
,,Total Votes ,47214,
,,Registered Voters,139808,
,,Percentage of Votes Polled to Registered Voters,33.77,%
,,NA-23 Kohistan,,
1,Mr.Afzal Khan,Pakistan Peoples Party Parliamentarians,436,
2,Mr.Saif-ur-Rehman,Independent,1696,
3,Mr.Abbas Sarfaraz Khan,Independent,7915,
4,Mr.Mehboobullah Jan,Pakistan Muslim League(QA),10630,
5,Mr.Muhammad Aslam,Independent,3143,
6,Mr.Muhammad Anwar,Independent,169,
7,Molvi Abdul Haleem,Muttahidda Majlis-e-Amal Pakistan,15603,
,,Valid Votes,39592,
,,Rejected Votes ,1012,
,,Total Votes ,40604,
,,Registered Voters,251512,
,,Percentage of Votes Polled to Registered Voters,16.14,%
,,Asghar/Tanveer,,
,,NA-24 D.I. Khan,,
1,Alhaj Sanaullah Khan Mian Khel,Pakistan Muslim League(QA),26860,
2,Mr.Javed Hassan Laghari,National Alliance,774,
3,Mr.Abid Hussain Chughtai,Pak Wattan Party,486,
4,Mr.Abdul Aziz,Pakistan Awami Tehreek,492,
5,Maulana Atta-ur-Rehman,Independent,1981,
6,Maulana Fazal-ur-Rehman,Muttahidda Majlis-e-Amal Pakistan,43124,
7,Mr.Faisal Karim Kundi,Pakistan Peoples Party Parliamentarians,36891,
,,Valid Votes,110608,
,,Rejected Votes ,2445,
,,Total Votes ,113053,
,,Registered Voters,267513,
,,Percentage of Votes Polled to Registered Voters,42.26,%
,NA-25 D.I. Khan cum-Tank,,,
1,Alhaj Sanaullah Khan Mian Khel,Independent,3529,
2,Alhaj Sardar Umar Farooq Khan Mian Khel,Pakistan Muslim League(QA),18882,
3,Mr.Dawar Khan Kundi,Pakistan Peoples Party Parliamentarians,31976,
4,Mr.Abdul Waheed,Independent,1246,
5,Mr.Farooq Khan,National Alliance,1415,
6,Maulana Atta-ur-Rehman,Independent,1501,
7,Maulana Fazal-ur-Rehman,Muttahidda Majlis-e-Amal Pakistan,59102,
,,Valid Votes,117651,
,,Rejected Votes ,3622,
,,Total Votes ,121273,
,,Registered Voters,271364,
,,Percentage of Votes Polled to Registered Voters,44.69,%
,,NA-26 Bannu,,
1,Mr.Saifur Rehman,National Alliance,1140,
2,Mr.Muhammad Roshan,Muttahida Qaumi Movement,603,
3,Mr.Muhammad Mustafa Khan,Independent,31867,
4,Maulana Nasib Ali Shah,Muttahidda Majlis-e-Amal Pakistan,78886,
,,Valid Votes,112496,
,,Rejected Votes ,2108,
,,Total Votes ,114604,
,,Registered Voters,297451,
,,Percentage of Votes Polled to Registered Voters,38.53,%
,NA-27 Lakki Marwat,,,
1,Mr.Anwar Saifullah Khan,Pakistan Muslim League(QA),41171,
2,Maulana Amanullah Khan ,Muttahidda Majlis-e-Amal Pakistan,65938,
,,Valid Votes,107109,
,,Rejected Votes ,2078,
,,Total Votes ,109187,
,,Registered Voters,234619,
,,Percentage of Votes Polled to Registered Voters,46.54,%
,,NA-28 Buner,,
1,Mr.Said Raheem Advocate,Independent,12473,
2,Mr.Sher Akbar Khan Advocate,Pakistan Peoples party(Sherpao),34224,
3,Mr.Abdul Mateen Khan,Awami National Party,19638,
4,Mr.Usman Shah,Pakistan Peoples Party Parliamentarians,4362,
5,Mr.Ali Sher Khan,Pakistan Muslim League(N),3034,
,,Valid Votes,73731,
,,Rejected Votes ,2670,
,,Total Votes ,76401,
,,Registered Voters,269067,
,,Percentage of Votes Polled to Registered Voters,28.39,%
,,Asghar/Tanveer,,
,,NA-29 Sawat-I,,
1,Mr.Shamsher Ali Khan,Pakistan Peoples Party Parliamentarians,5921,
2,Mr.Adnan Aurang Zeb,Pakistan Muslim League(QA),18265,
3,Mr.Azeem Khan Advocate,National Alliance,1932,
4,Mr.Imran Khan,Pakistan Tehreek-e-Insaf,6060,
5,Qari Abdul Baees Saddiqui,Muttahidda Majlis-e-Amal Pakistan,65808,
,,Valid Votes,97986,
,,Rejected Votes ,2465,
,,Total Votes ,100451,
,,Registered Voters,314521,
,,Percentage of Votes Polled to Registered Voters,31.94,%
,,NA-30 Sawat-II,,
1,Dr. Sahibzada Liaqat Ali Khan,Pakistan Tehreek-e-Insaf,811,
2,Mr.Salim Rehman,Pakistan Peoples Party Parliamentarians,10867,
3,Mr.Shujaat Ali Khan,Pakistan Muslim League(QA),15680,
4,Mr.Shaukat Ali,Pakistan Awami party,2592,
5,Mr.Fazal-e-Subhan,Muttahidda Majlis-e-Amal Pakistan,67085,
6,Mr.Muhammad Mukhtar,Pakistan Pakhtoonkhawa Milli Awami Party,2134,
,,Valid Votes,99169,
,,Rejected Votes ,3134,
,,Total Votes ,102303,
,,Registered Voters,315636,
,,Percentage of Votes Polled to Registered Voters,32.41,%
,,NA-31 Shangla,,
1,Mr.Afsar-ul-Mulk,Pakistan Peoples Party Parliamentarians,11769,
2,Mr.Amir Muqam ,Muttahidda Majlis-e-Amal Pakistan,25960,
3,Mr.Jamal Zeb Khan,Pakistan Muslim League(N),2743,
4,Dr. Safeer Khan,Awami National Party,18676,
5,Mr.Ibadullah ,Independent,406,
6,Mr.Muhammad Saleem Khan,Independent,531,
,,Valid Votes,60085,
,,Rejected Votes ,1677,
,,Total Votes ,61762,
,,Registered Voters,225373,
,,Percentage of Votes Polled to Registered Voters,27.4,%
,,NA-32 Chitral,,
1,Mr.Abdul Akbar Khan,Muttahidda Majlis-e-Amal Pakistan,36130,
2,Mr.Iftikharuddin ,Pakistan Muslim League(QA),23907,
3,Sardar Ali S. Aman,Pakistan Peoples Party Parliamentarians,20862,
4,Mr.Abdul Latif ,Pakistan Tehreek-e-Insaf,516,
,,Valid Votes,81415,
,,Rejected Votes ,2572,
,,Total Votes ,83987,
,,Registered Voters,170954,
,,Percentage of Votes Polled to Registered Voters,49.13,%
,NA-33 Upper Dir (Recheck),,,
1,Mr.Muhammad Anwar Khan Advocate,Pakistan Peoples Party Parliamentarians,24259,
2,Barrister Muhammad Islam Khan,Pakistan Peoples party(Sherpao),4184,
3,Mr.Gul Zamin Said,Awami National Party,3268,
4,Mr.Sultan Ali Shah,Pakistan Tehreek-e-Insaf,861,
5,Molana Asad Ullah,Muttahidda Majlis-e-Amal Pakistan,39362,
,,Valid Votes,71934,
,,Rejected Votes ,2581,
,,Total Votes ,74515,
,,Registered Voters,230952,
,,Percentage of Votes Polled to Registered Voters,32.26,%
,,Asghar/Tanveer,,
,NA-34 Lower Dir,,,
1,Mr.Aurangzeb Khan ,Independent,313,
2,Sardar Abul Hakeem Tajak Advocate,Pakistan Muslim League(QA),1123,
3,Qazi Hussain Ahmad ,Muttahidda Majlis-e-Amal Pakistan,53799,
4,Mr.Muhammad Ayub Khan,Awami National Party,34078,
5,Mr.Muhammad Bashir ,Pakistan Tehreek-e-Insaf,1136,
6,Mr.Muhammad Rashid Khan Advocate,Pakistan Muslim League(N),224,
,,Valid Votes,90673,
,,Rejected Votes ,2072,
,,Total Votes ,92745,
,,Registered Voters,327902,
,,Percentage of Votes Polled to Registered Voters,28.28,%
,NA-35 Malakand Protected Area,,,
1,Mr.Bahr-e-Karam,Awami National Party,5167,
2,Mr.Ziaullah,Pakistan Muslim League(N),1930,
3,Mr.Lal Muhammad Khan,Pakistan Peoples Party Parliamentarians,17538,
4,Mr.Muhammad Riaz Khan,Pakistan Muslim League(QA),5161,
5,Maulana Muhammad Inayat-ur-Rehman,Muttahidda Majlis-e-Amal Pakistan,37663,
6,Mr.Nowsherwan Qasir ,Pakistan Tehreek-e-Insaf,2117,
,,Valid Votes,69576,
,,Rejected Votes ,1915,
,,Total Votes ,71491,
,,Registered Voters,206496,
,,Percentage of Votes Polled to Registered Voters,34.62,%
,,Asghar/Tanveer,,
,THE FEDERALLY ADMINISTERED TRIBAL AREAS,,,
SL.No.,Constesting candidates,Party Afflilation ,Votes Polled,
,NA-36 Tribal Area-I,,,
1,Haji Manzoor Khan,Independent,64,
2,Haji Nadir Khan,Independent,74,
3,Mr.Hazrat Khan,Independent,1730,
4,Mr.Azmat Khan,Independent,3922,
5,Mr.Mehbub Sher,Independent,1208,
6,Mr.Muhammad Azad Khan,Independent,27,
7,Mr.Zahir Shah Advocate,Independent,60,
8,Mr.Muallam Khan ,Independent,76,
9,Malik Badri Zaman,Independent,959,
10,Maulana Ghulam Muhammad Sadiq ,Independent,16358,
11,Major ® Rooman Khan,Independent,170,
,,Valid Votes,24648,
,,Rejected Votes ,341,
,,Total Votes ,24989,
,,Registered Voters,108081,
,,Percentage of Votes Polled to Registered Voters,23.12,%
,NA-37 Tribal Area-II,,,
1,Mr.Alif Gul Jaji,Independent,22,
2,Dr. Sayed Javaid Hussain Mian,Independent,21053,
3,Dr. Syed Riaz Hussain,Independent,27,
4,Dr Abdul Janan,Independent,3,
5,Sayed Altaf Hussain,Independent,2,
6,Sayed Muhammad,Independent,38,
7,Sayed Muhammad Jawad (Jawad Agha),Independent,8602,
8,Sayed Wali Sayed Mian,Independent,5653,
9,Mr.Eid Nazar Mangal,Independent,5858,
10,Mr.Muhammad Asgher,Independent,32,
11,Mr.Muslim Khan,Independent,5,
12,Mir Zaman Bangash,Independent,6,
13,Mr.Nasir Hussain,Independent,6,
14,Mr.Naveed Ahmad Khan,Independent,14,
,,Valid Votes,41321,
,,Rejected Votes ,711,
,,Total Votes ,42032,
,,Registered Voters,138559,
